time_ms,cpu_usage,workers_active
15453,100.00,8
15465,100.00,8
15477,100.00,8
15490,100.00,8
15502,100.00,8
15514,100.00,8
15526,100.00,8
15537,100.00,8
15550,100.00,7
15562,100.00,8
15575,100.00,8
15585,100.00,8
15598,100.00,8
15610,100.00,8
15623,100.00,8
15636,100.00,8
15648,100.00,8
15660,100.00,8
15673,100.00,8
15685,100.00,8
15698,100.00,8
15710,100.00,8
15723,100.00,8
15735,100.00,8
15748,100.00,8
15760,100.00,8
15773,100.00,8
15786,100.00,8
15798,100.00,8
15811,100.00,8
15823,100.00,8
15835,100.00,8
15848,100.00,8
15861,100.00,8
15873,100.00,8
15886,100.00,8
15898,100.00,8
15911,100.00,8
15923,100.00,8
15936,100.00,8
15948,100.00,8
15960,100.00,8
15973,100.00,8
15985,100.00,8
15998,100.00,8
16010,100.00,8
16021,100.00,8
16032,100.00,8
16045,100.00,8
16056,100.00,8
16069,100.00,8
16081,100.00,8
16094,100.00,8
16106,100.00,8
16119,100.00,8
16132,100.00,8
16144,100.00,8
16157,100.00,8
16169,100.00,8
16182,100.00,8
16194,100.00,8
16207,100.00,8
16219,100.00,8
16231,100.00,8
16243,100.00,8
16256,100.00,8
16269,100.00,8
16279,100.00,8
16292,100.00,8
16304,100.00,8
16316,100.00,8
16328,100.00,8
16341,100.00,8
16353,100.00,8
16366,100.00,8
16378,100.00,8
16391,100.00,8
16403,100.00,8
16416,100.00,8
16428,100.00,8
16441,100.00,8
16453,100.00,8
16464,100.00,8
16476,100.00,8
16487,100.00,8
16500,100.00,8
16510,100.00,8
16523,100.00,8
16535,100.00,8
16548,100.00,8
16560,100.00,8
16573,100.00,8
16586,100.00,8
16598,100.00,8
16611,100.00,8
16623,100.00,8
16636,100.00,8
16648,100.00,8
16661,100.00,8
16673,100.00,8
16685,100.00,8
16698,100.00,8
16710,100.00,8
16723,100.00,8
16735,100.00,8
16748,100.00,8
16761,100.00,8
16773,100.00,8
16786,100.00,8
16798,100.00,8
16811,100.00,8
16823,100.00,8
16836,100.00,8
16848,100.00,8
16861,100.00,8
16873,100.00,8
16886,100.00,8
16898,100.00,8
16911,100.00,8
16923,100.00,8
16936,100.00,8
16948,100.00,8
16961,100.00,8
16974,100.00,8
16986,100.00,8
16998,100.00,8
17010,100.00,8
17023,100.00,8
17035,100.00,8
17048,100.00,8
17061,100.00,8
17073,100.00,8
17085,70.00,7
17098,80.00,8
17110,80.00,8
17123,80.00,8
17135,80.00,8
17148,80.00,8
17161,80.00,8
17173,80.00,8
17186,80.00,8
17198,80.00,8
17210,80.00,8
17223,80.00,8
17236,80.00,8
17248,80.00,8
17260,80.00,8
17273,80.00,8
17285,100.00,8
17298,100.00,8
17310,100.00,8
17323,100.00,8
17334,100.00,7
17347,100.00,8
17359,100.00,8
17372,100.00,8
17384,100.00,8
17395,100.00,8
17407,100.00,8
17419,100.00,8
17431,100.00,8
17444,100.00,8
17456,100.00,8
17469,100.00,8
17482,100.00,8
17494,100.00,8
17507,100.00,8
17519,100.00,8
17531,100.00,8
17544,100.00,8
17556,100.00,8
17569,100.00,8
17581,100.00,8
17594,100.00,8
17606,100.00,8
17619,100.00,8
17631,100.00,8
17644,100.00,8
17656,100.00,8
17669,100.00,8
17681,100.00,8
17692,100.00,8
17705,100.00,8
17717,100.00,8
17727,100.00,8
17740,100.00,8
17752,100.00,8
17765,100.00,8
17777,100.00,8
17790,100.00,8
17802,100.00,8
17815,100.00,8
17825,100.00,8
17837,100.00,8
17849,100.00,8
17861,100.00,8
17874,100.00,8
17887,100.00,8
17898,100.00,8
17910,100.00,8
17923,100.00,8
17933,100.00,8
17944,100.00,8
